trp_multiplayer_profile_troop_male|Profil multijoueur homme
trp_nord_village_walker_f_average|Villageoise
trp_nord_village_walker_f_average_pl|Villageoises
trp_rhodok_village_walker_m_average|Villageois
trp_rhodok_village_walker_m_average_pl|Villageois
trp_rhodok_village_walker_f_average|Villageoise
trp_rhodok_village_walker_f_average_pl|Villageoises
trp_sarranid_village_walker_m_average|Villageois
trp_sarranid_village_walker_m_average_pl|Villageois
trp_sarranid_village_walker_f_average|Villageoise
trp_sarranid_village_walker_f_average_pl|Villageoises
trp_village_walker_m_average|Villageois
trp_village_walker_m_average_pl|Villageois
trp_village_walker_f_average|Villageoise
trp_village_walker_f_average_pl|Villageoises
trp_swadian_spy_walker_1|Habitant
trp_swadian_spy_walker_1_pl|Habitants
trp_swadian_spy_walker_2|Habitante
trp_swadian_spy_walker_2_pl|Habitantes
trp_vaegir_spy_walker_1|Habitant
trp_vaegir_spy_walker_1_pl|Habitants
trp_vaegir_spy_walker_2|Habitante
trp_vaegir_spy_walker_2_pl|Habitantes
trp_khergit_spy_walker_1|Habitant
trp_khergit_spy_walker_1_pl|Habitants
trp_khergit_spy_walker_2|Habitante
trp_khergit_spy_walker_2_pl|Habitantes
trp_nord_spy_walker_1|Habitant
trp_nord_spy_walker_1_pl|Habitants
trp_nord_spy_walker_2|Habitante
trp_nord_spy_walker_2_pl|Habitantes
trp_rhodok_spy_walker_1|Habitant
trp_rhodok_spy_walker_1_pl|Habitants
trp_rhodok_spy_walker_2|Habitante
trp_rhodok_spy_walker_2_pl|Habitantes
trp_sarranid_spy_walker_1|Habitant
trp_sarranid_spy_walker_1_pl|Habitants
trp_sarranid_spy_walker_2|Habitante
trp_sarranid_spy_walker_2_pl|Habitantes
trp_spy_walker_1|Habitant discret
trp_spy_walker_1_pl|Habitants discrets
trp_spy_walker_2|Habitante discrète
trp_spy_walker_2_pl|Habitantes discrètes
trp_tournament_master|Maître de tournoi
trp_tournament_master_pl|Maîtres de tournoi
trp_trainer|Entraîneur
trp_trainer_pl|Entraîneurs
trp_constable_hareck|Connétable Hareck
trp_constable_hareck_pl|Connétable Hareck
trp_ramun_the_slave_trader|Ramun le marchand d'esclaves
trp_ramun_the_slave_trader_pl|Ramun le marchand d'esclaves
trp_guide|S'rar le vif
trp_guide_pl|S'rar le vif
trp_xerina|Xerina
trp_xerina_pl|Xerina
trp_dranton|Dranton
trp_dranton_pl|Dranton
trp_kradus|Kradus
trp_kradus_pl|Kradus
trp_tutorial_trainer|Maître d'entraînement
trp_tutorial_trainer_pl|Maîtres d'entraînement
trp_tutorial_student_1|Formation étudiant 1
trp_tutorial_student_1_pl|Formation étudiant 1
trp_tutorial_student_2|Formation étudiant 2
trp_tutorial_student_2_pl|Formation étudiant 2
trp_tutorial_student_3|Formation étudiant 3
trp_tutorial_student_3_pl|Formation étudiant 3
trp_tutorial_student_4|Formation étudiant 4
trp_tutorial_student_4_pl|Formation étudiant 4
trp_galeas|Galeas
trp_galeas_pl|Galeas
trp_farmer_from_bandit_village|Fermier
trp_farmer_from_bandit_village_pl|Fermiers
trp_trainer_1|Mentor
trp_trainer_1_pl|Mentors
trp_trainer_2|Mentor
trp_trainer_2_pl|Mentors
trp_trainer_3|Mentor
trp_trainer_3_pl|Mentors
trp_trainer_4|Mentor
trp_trainer_4_pl|Mentors
trp_trainer_5|Mentor
trp_trainer_5_pl|Mentors
trp_ransom_broker_1|Rançonneur
trp_ransom_broker_1_pl|Rançonneurs
trp_ransom_broker_2|Rançonneur
trp_ransom_broker_2_pl|Rançonneurs
trp_ransom_broker_3|Rançonneur
trp_ransom_broker_3_pl|Rançonneurs
trp_ransom_broker_4|Rançonneur
trp_ransom_broker_4_pl|Rançonneurs
trp_ransom_broker_5|Rançonneur
trp_ransom_broker_5_pl|Rançonneurs
trp_ransom_broker_6|Rançonneur
trp_ransom_broker_6_pl|Rançonneurs
trp_ransom_broker_7|Rançonneur
trp_ransom_broker_7_pl|Rançonneurs
trp_ransom_broker_8|Rançonneur
trp_ransom_broker_8_pl|Rançonneurs
trp_ransom_broker_9|Rançonneur
trp_ransom_broker_9_pl|Rançonneurs
trp_ransom_broker_10|Rançonneur
trp_ransom_broker_10_pl|Rançonneurs
trp_tavern_traveler_1|Voyageur
trp_tavern_traveler_1_pl|Voyageurs
trp_tavern_traveler_2|Voyageur
trp_tavern_traveler_2_pl|Voyageurs
trp_tavern_traveler_3|Voyageur
trp_tavern_traveler_3_pl|Voyageurs
trp_tavern_traveler_4|Voyageur
trp_tavern_traveler_4_pl|Voyageurs
trp_tavern_traveler_5|Voyageur
trp_tavern_traveler_5_pl|Voyageurs
trp_tavern_traveler_6|Voyageur
trp_tavern_traveler_6_pl|Voyageurs
trp_tavern_traveler_7|Voyageur
trp_tavern_traveler_7_pl|Voyageurs
trp_tavern_traveler_8|Voyageur
trp_tavern_traveler_8_pl|Voyageurs
trp_tavern_traveler_9|Voyageur
trp_tavern_traveler_9_pl|Voyageurs
trp_tavern_traveler_10|Voyageur
trp_tavern_traveler_10_pl|Voyageurs
trp_tavern_bookseller_1|Marchand de livres
trp_tavern_bookseller_1_pl|Marchands de livres
trp_tavern_bookseller_2|Marchand de livres
trp_tavern_bookseller_2_pl|Marchands de livres
trp_tavern_minstrel_1|Ménestrel itinérant
trp_tavern_minstrel_1_pl|Ménestrels
trp_tavern_minstrel_2|Barde itinérant
trp_tavern_minstrel_2_pl|Bardes
trp_tavern_minstrel_3|Ashik itinérant
trp_tavern_minstrel_3_pl|Ashiks
trp_tavern_minstrel_4|Skald itinérant
trp_tavern_minstrel_4_pl|Skalds
trp_tavern_minstrel_5|Troubadour itinérant
trp_tavern_minstrel_5_pl|Troubadours
trp_kingdom_heroes_including_player_begin|Héros du royaume au début dont le joueur
trp_kingdom_heroes_including_player_begin_pl|Héros du royaume au début dont le joueur
trp_npc1|Borcha
trp_npc1_pl|Borcha
trp_npc2|Marnid
trp_npc2_pl|Marnid
trp_npc3|Ymira
trp_npc3_pl|Ymira
trp_npc4|Rolf
trp_npc4_pl|Rolf
trp_npc5|Baheshtur
trp_npc5_pl|Baheshtur
trp_npc6|Firentis
trp_npc6_pl|Firentis
trp_npc7|Deshavi
trp_npc7_pl|Deshavi
trp_npc8|Matheld
trp_npc8_pl|Matheld
trp_npc9|Alayen
trp_npc9_pl|Alayen
trp_npc10|Bunduk
trp_npc10_pl|Bunduk
trp_npc11|Katrin
trp_npc11_pl|Katrin
trp_npc12|Jeremus
trp_npc12_pl|Jeremus
trp_npc13|Nizar
trp_npc13_pl|Nizar
trp_npc14|Lezalit
trp_npc14_pl|Lezalit
trp_npc15|Artimenner
trp_npc15_pl|Artimenner
trp_npc16|Klethi
trp_npc16_pl|Klethi
trp_npc17|Floris
trp_npc17_pl|Floris
trp_npc18|Nadia
trp_npc18_pl|Nadia
trp_npc19|Odval
trp_npc19_pl|Odval
trp_npc20|Sajjad
trp_npc20_pl|Sajjad
trp_npc21|Ghazwan
trp_npc21_pl|Ghazwan
trp_npc22|Edwyn
trp_npc22_pl|Edwyn
trp_kingdom_1_lord|Roi Harlaus
trp_kingdom_1_lord_pl|Harlaus
trp_kingdom_2_lord|Roi Yaroglek
trp_kingdom_2_lord_pl|Yaroglek
trp_kingdom_3_lord|Khan Sanjar
trp_kingdom_3_lord_pl|Sanjar
trp_kingdom_4_lord|Roi Ragnar
trp_kingdom_4_lord_pl|Ragnar
trp_kingdom_5_lord|Roi Graveth
trp_kingdom_5_lord_pl|Graveth
trp_kingdom_6_lord|Sultan Hakim
trp_kingdom_6_lord_pl|Hakim
trp_knight_1_1|Sire Klargus
trp_knight_1_1_pl|Klargus
trp_knight_1_2|Sire Delinard
trp_knight_1_2_pl|Delinard
trp_knight_1_3|Sire Haringoth
trp_knight_1_3_pl|Haringoth
trp_knight_1_4|Sire Clais
trp_knight_1_4_pl|Clais
trp_knight_1_5|Sire Deglan
trp_knight_1_5_pl|Deglan
trp_knight_1_6|Sire Tredian
trp_knight_1_6_pl|Tredian
trp_knight_1_7|Sire Grainwad
trp_knight_1_7_pl|Grainwad
trp_knight_1_8|Sire Ryis
trp_knight_1_8_pl|Ryis
trp_knight_1_9|Sire Plais
trp_knight_1_9_pl|Plais
trp_knight_1_10|Sire Mirchaud
trp_knight_1_10_pl|Mirchaud
trp_knight_1_11|Sire Stamar
trp_knight_1_11_pl|Stamar
trp_knight_1_12|Sire Meltor
trp_knight_1_12_pl|Meltor
trp_knight_1_13|Sire Beranz
trp_knight_1_13_pl|Beranz
trp_knight_1_14|Sire Rafard
trp_knight_1_14_pl|Rafard
trp_knight_1_15|Sire Regas
trp_knight_1_15_pl|Regas
trp_knight_1_16|Sire Devlian
trp_knight_1_16_pl|Devlian
trp_knight_1_17|Sire Rafarch
trp_knight_1_17_pl|Rafarch
trp_knight_1_18|Sire Rochabarth
trp_knight_1_18_pl|Rochabarth
trp_knight_1_19|Sire Despin
trp_knight_1_19_pl|Despin
trp_knight_1_20|Sire Montewar
trp_knight_1_20_pl|Montewar
trp_knight_2_1|Boyard Vuldrat
trp_knight_2_1_pl|Vuldrat
trp_knight_2_2|Boyard Naldera
trp_knight_2_2_pl|Naldera
trp_knight_2_3|Boyard Meriga
trp_knight_2_3_pl|Meriga
trp_knight_2_4|Boyard Khavel
trp_knight_2_4_pl|Khavel
trp_knight_2_5|Boyard Doru
trp_knight_2_5_pl|Doru
trp_knight_2_6|Boyard Belgaru
trp_knight_2_6_pl|Belgaru
trp_knight_2_7|Boyard Ralcha
trp_knight_2_7_pl|Ralcha
trp_knight_2_8|Boyard Vlan
trp_knight_2_8_pl|Vlan
trp_knight_2_9|Boyard Mleza
trp_knight_2_9_pl|Mleza
trp_knight_2_10|Boyard Nelag
trp_knight_2_10_pl|Nelag
trp_knight_2_11|Boyard Crahask
trp_knight_2_11_pl|Crahask
trp_knight_2_12|Boyard Bracha
trp_knight_2_12_pl|Bracha
trp_knight_2_13|Boyard Druli
trp_knight_2_13_pl|Druli
trp_knight_2_14|Boyard Marmun
trp_knight_2_14_pl|Marmun
trp_knight_2_15|Boyard Gastya
trp_knight_2_15_pl|Gastya
trp_knight_2_16|Boyard Harish
trp_knight_2_16_pl|Harish
trp_knight_2_17|Boyard Taisa
trp_knight_2_17_pl|Taisa
trp_knight_2_18|Boyard Valishin
trp_knight_2_18_pl|Valishin
trp_knight_2_19|Boyard Rudin
trp_knight_2_19_pl|Rudin
trp_knight_2_20|Boyard Kumipa
trp_knight_2_20_pl|Kumipa
trp_knight_3_1|Noyan Alagur
trp_knight_3_1_pl|Alagur
trp_knight_3_2|Noyan Tonju
trp_knight_3_2_pl|Tonju
trp_knight_3_3|Noyan Belir
trp_knight_3_3_pl|Belir
trp_knight_3_4|Noyan Asugan
trp_knight_3_4_pl|Asugan
trp_knight_3_5|Noyan Brula
trp_knight_3_5_pl|Brula
trp_knight_3_6|Noyan Imirza
trp_knight_3_6_pl|Imirza
trp_knight_3_7|Noyan Urumuda
trp_knight_3_7_pl|Urumuda
trp_knight_3_8|Noyan Kramuk
trp_knight_3_8_pl|Kramuk
trp_knight_3_9|Noyan Chaurka
trp_knight_3_9_pl|Chaurka
trp_knight_3_10|Noyan Sebula
trp_knight_3_10_pl|Sebula
trp_knight_3_11|Noyan Tulug
trp_knight_3_11_pl|Tulug
trp_knight_3_12|Noyan Nasugei
trp_knight_3_12_pl|Nasugei
trp_knight_3_13|Noyan Urubay
trp_knight_3_13_pl|Urubay
trp_knight_3_14|Noyan Hugu
trp_knight_3_14_pl|Hugu
trp_knight_3_15|Noyan Tansugai
trp_knight_3_15_pl|Tansugai
trp_knight_3_16|Noyan Tirida
trp_knight_3_16_pl|Tirida
trp_knight_3_17|Noyan Ulusamai
trp_knight_3_17_pl|Ulusamai
trp_knight_3_18|Noyan Karaban
trp_knight_3_18_pl|Karaban
trp_knight_3_19|Noyan Akadan
trp_knight_3_19_pl|Akadan
trp_knight_3_20|Noyan Dundush
trp_knight_3_20_pl|Dundush
trp_knight_4_1|Jarl Aedin
trp_knight_4_1_pl|Aedin
trp_knight_4_2|Jarl Irya
trp_knight_4_2_pl|Irya
trp_knight_4_3|Jarl Olaf
trp_knight_4_3_pl|Olaf
trp_knight_4_4|Jarl Reamald
trp_knight_4_4_pl|Reamald
trp_knight_4_5|Jarl Turya
trp_knight_4_5_pl|Turya
trp_knight_4_6|Jarl Gundur
trp_knight_4_6_pl|Gundur
trp_knight_4_7|Jarl Harald
trp_knight_4_7_pl|Harald
trp_knight_4_8|Jarl Knudarr
trp_knight_4_8_pl|Knudarr
trp_knight_4_9|Jarl Haeda
trp_knight_4_9_pl|Haeda
trp_knight_4_10|Jarl Turegor
trp_knight_4_10_pl|Turegor
trp_knight_4_11|Jarl Logarson
trp_knight_4_11_pl|Logarson
trp_knight_4_12|Jarl Aeric
trp_knight_4_12_pl|Aeric
trp_knight_4_13|Jarl Faarn
trp_knight_4_13_pl|Faarn
trp_knight_4_14|Jarl Bulba
trp_knight_4_14_pl|Bulba
trp_knight_4_15|Jarl Rayeck
trp_knight_4_15_pl|Rayeck
trp_knight_4_16|Jarl Dirigun
trp_knight_4_16_pl|Dirigun
trp_knight_4_17|Jarl Marayirr
trp_knight_4_17_pl|Marayirr
trp_knight_4_18|Jarl Gearth
trp_knight_4_18_pl|Gearth
trp_knight_4_19|Jarl Surdun
trp_knight_4_19_pl|Surdun
trp_knight_4_20|Jarl Gerlad
trp_knight_4_20_pl|Gerlad
trp_knight_5_1|Comte Matheas
trp_knight_5_1_pl|Matheas
trp_knight_5_2|Comte Gutlans
trp_knight_5_2_pl|Gutlans
trp_knight_5_3|Comte Laruqen
trp_knight_5_3_pl|Laruqen
trp_knight_5_4|Comte Raichs
trp_knight_5_4_pl|Raichs
trp_knight_5_5|Comte Reland
trp_knight_5_5_pl|Reland
trp_knight_5_6|Comte Tarchias
trp_knight_5_6_pl|Tarchias
trp_knight_5_7|Comte Gharmall
trp_knight_5_7_pl|Gharmall
trp_knight_5_8|Comte Talbar
trp_knight_5_8_pl|Talbar
trp_knight_5_9|Comte Rimusk
trp_knight_5_9_pl|Rimusk
trp_knight_5_10|Comte Falsevor
trp_knight_5_10_pl|Falsevor
trp_knight_5_11|Comte Etrosq
trp_knight_5_11_pl|Etrosq
trp_knight_5_12|Comte Kurnias
trp_knight_5_12_pl|Kurnias
trp_knight_5_13|Comte Tellrog
trp_knight_5_13_pl|Tellrog
trp_knight_5_14|Comte Tribidan
trp_knight_5_14_pl|Tribidan 
trp_knight_5_15|Comte Gerluchs
trp_knight_5_15_pl|Gerluchs
trp_knight_5_16|Comte Fudreim
trp_knight_5_16_pl|Fudreim
trp_knight_5_17|Comte Nealcha
trp_knight_5_17_pl|Nealcha
trp_knight_5_18|Comte Fraichin
trp_knight_5_18_pl|Fraichin
trp_knight_5_19|Comte Trimbau
trp_knight_5_19_pl|Trimbau
trp_knight_5_20|Comte Reichsin
trp_knight_5_20_pl|Reichsin
trp_knight_6_1|Cheikh Uqais
trp_knight_6_1_pl|Uqais
trp_knight_6_2|Cheikh Hamezan
trp_knight_6_2_pl|Hamezan
trp_knight_6_3|Cheikh Atis
trp_knight_6_3_pl|Atis
trp_knight_6_4|Cheikh Nuwas
trp_knight_6_4_pl|Nuwas
trp_knight_6_5|Cheikh Mundhalir
trp_knight_6_5_pl|Mundhalir
trp_knight_6_6|Cheikh Ghanawa
trp_knight_6_6_pl|Ghanawa
trp_knight_6_7|Cheikh Nuam
trp_knight_6_7_pl|Nuam
trp_knight_6_8|Cheikh Dhiyul
trp_knight_6_8_pl|Dhiyul
trp_knight_6_9|Cheikh Lakhem
trp_knight_6_9_pl|Lakhem
trp_knight_6_10|Cheikh Ghulassen
trp_knight_6_10_pl|Ghulassen
trp_knight_6_11|Cheikh Azadun
trp_knight_6_11_pl|Azadun
trp_knight_6_12|Cheikh Quryas
trp_knight_6_12_pl|Quryas
trp_knight_6_13|Cheikh Amdar
trp_knight_6_13_pl|Amdar
trp_knight_6_14|Cheikh Hiwan
trp_knight_6_14_pl|Hiwan
trp_knight_6_15|Cheikh Muhnir
trp_knight_6_15_pl|Muhnir
trp_knight_6_16|Cheikh Ayyam
trp_knight_6_16_pl|Ayyam
trp_knight_6_17|Cheikh Raddoun
trp_knight_6_17_pl|Raddoun
trp_knight_6_18|Cheikh Tilimsan
trp_knight_6_18_pl|Tilimsan
trp_knight_6_19|Cheikh Dhashwal
trp_knight_6_19_pl|Dhashwal
trp_knight_6_20|Cheikh Biliya
trp_knight_6_20_pl|Biliya
trp_kingdom_1_pretender|Dame Isolla de Suno
trp_kingdom_1_pretender_pl|Isolla
trp_kingdom_2_pretender|Prince Valdym le Bâtard
trp_kingdom_2_pretender_pl|Valdym
trp_kingdom_3_pretender|Khan Dustun
trp_kingdom_3_pretender_pl|Dustun
trp_kingdom_4_pretender|Lethwin le Puits-de-Science
trp_kingdom_4_pretender_pl|Lethwin
trp_kingdom_5_pretender|Sire Kastor de Veluca
trp_kingdom_5_pretender_pl|Kastor
trp_kingdom_6_pretender|Arwa la Nacrée
trp_kingdom_6_pretender_pl|Arwa
trp_knight_1_1_wife|Error - knight 1 1 wife should not appear in game
trp_knight_1_1_wife_pl|knight 1 1 wife
trp_kingdom_1_lady_1|Dame Anna
trp_kingdom_1_lady_1_pl|Anna
trp_kingdom_1_lady_2|Dame Nelda
trp_kingdom_1_lady_2_pl|Nelda
trp_knight_1_lady_3|Dame Bela
trp_knight_1_lady_3_pl|Bela
trp_knight_1_lady_4|Dame Elina
trp_knight_1_lady_4_pl|Elina
trp_kingdom_l_lady_5|Dame Constanis
trp_kingdom_l_lady_5_pl|Constanis
trp_kingdom_1_lady_6|Dame Vera
trp_kingdom_1_lady_6_pl|Vera
trp_kingdom_1_lady_7|Dame Auberina
trp_kingdom_1_lady_7_pl|Auberina
trp_kingdom_1_lady_8|Dame Tibal
trp_kingdom_1_lady_8_pl|Tibal
trp_kingdom_1_lady_9|Dame Magar
trp_kingdom_1_lady_9_pl|Magar
trp_kingdom_1_lady_10|Dame Thedosa
trp_kingdom_1_lady_10_pl|Thedosa
trp_kingdom_1_lady_11|Dame Melisar
trp_kingdom_1_lady_11_pl|Melisar
trp_kingdom_1_lady_12|Dame Irena
trp_kingdom_1_lady_12_pl|Irena
trp_kingdom_l_lady_13|Dame Philenna
trp_kingdom_l_lady_13_pl|Philenna
trp_kingdom_1_lady_14|Dame Sonadel
trp_kingdom_1_lady_14_pl|Sonadel
trp_kingdom_1_lady_15|Dame Boadila
trp_kingdom_1_lady_15_pl|Boadila
trp_kingdom_1_lady_16|Dame Elys
trp_kingdom_1_lady_16_pl|Elys
trp_kingdom_1_lady_17|Dame Johana
trp_kingdom_1_lady_17_pl|Johana
trp_kingdom_1_lady_18|Dame Bernatys
trp_kingdom_1_lady_18_pl|Bernatys
trp_kingdom_1_lady_19|Dame Enricata
trp_kingdom_1_lady_19_pl|Enricata
trp_kingdom_1_lady_20|Dame Gaeta
trp_kingdom_1_lady_20_pl|Gaeta
trp_kingdom_2_lady_1|Dame Junitha
trp_kingdom_2_lady_1_pl|Junitha
trp_kingdom_2_lady_2|Dame Katia
trp_kingdom_2_lady_2_pl|Katia
trp_kingdom_2_lady_3|Dame Seomis
trp_kingdom_2_lady_3_pl|Seomis
trp_kingdom_2_lady_4|Dame Drina
trp_kingdom_2_lady_4_pl|Drina
trp_kingdom_2_lady_5|Dame Nesha
trp_kingdom_2_lady_5_pl|Nesha
trp_kingdom_2_lady_6|Dame Tabath
trp_kingdom_2_lady_6_pl|Tabath
trp_kingdom_2_lady_7|Dame Pelaeka
trp_kingdom_2_lady_7_pl|Pelaeka
trp_kingdom_2_lady_8|Dame Haris
trp_kingdom_2_lady_8_pl|Haris
trp_kingdom_2_lady_9|Dame Vayen
trp_kingdom_2_lady_9_pl|Vayen
trp_kingdom_2_lady_10|Dame Joaka
trp_kingdom_2_lady_10_pl|Joaka
trp_kingdom_2_lady_11|Dame Tejina
trp_kingdom_2_lady_11_pl|Tejina
trp_kingdom_2_lady_12|Dame Olekseia
trp_kingdom_2_lady_12_pl|Olekseia
trp_kingdom_2_lady_13|Dame Myntha
trp_kingdom_2_lady_13_pl|Myntha
trp_kingdom_2_lady_14|Dame Akilina
trp_kingdom_2_lady_14_pl|Akilina
trp_kingdom_2_lady_15|Dame Sepana
trp_kingdom_2_lady_15_pl|Sepana
trp_kingdom_2_lady_16|Dame Iarina
trp_kingdom_2_lady_16_pl|Iarina
trp_kingdom_2_lady_17|Dame Sihavan
trp_kingdom_2_lady_17_pl|Sihavan
trp_kingdom_2_lady_18|Dame Erenchina
trp_kingdom_2_lady_18_pl|Erenchina
trp_kingdom_2_lady_19|Dame Tamar
trp_kingdom_2_lady_19_pl|Tamar
trp_kingdom_2_lady_20|Dame Valka
trp_kingdom_2_lady_20_pl|Valka
trp_kingdom_3_lady_1|Dame Borge
trp_kingdom_3_lady_1_pl|Borge
trp_kingdom_3_lady_2|Dame Tuan
trp_kingdom_3_lady_2_pl|Tuan
trp_kingdom_3_lady_3|Dame Mahraz
trp_kingdom_3_lady_3_pl|Mahraz
trp_kingdom_3_lady_4|Dame Ayasu
trp_kingdom_3_lady_4_pl|Ayasu
trp_kingdom_3_lady_5|Dame Ravin
trp_kingdom_3_lady_5_pl|Ravin
trp_kingdom_3_lady_6|Dame Ruha
trp_kingdom_3_lady_6_pl|Ruha
trp_kingdom_3_lady_7|Dame Chedina
trp_kingdom_3_lady_7_pl|Chedina
trp_kingdom_3_lady_8|Dame Kefra
trp_kingdom_3_lady_8_pl|Kefra
trp_kingdom_3_lady_9|Dame Nirvaz
trp_kingdom_3_lady_9_pl|Nirvaz
trp_kingdom_3_lady_10|Dame Dulua
trp_kingdom_3_lady_10_pl|Dulua
trp_kingdom_3_lady_11|Dame Selik
trp_kingdom_3_lady_11_pl|Selik
trp_kingdom_3_lady_12|Dame Thalatha
trp_kingdom_3_lady_12_pl|Thalatha
trp_kingdom_3_lady_13|Dame Yasreen
trp_kingdom_3_lady_13_pl|Yasreen
trp_kingdom_3_lady_14|Dame Nadha
trp_kingdom_3_lady_14_pl|Nadha
trp_kingdom_3_lady_15|Dame Zenur
trp_kingdom_3_lady_15_pl|Zenur
trp_kingdom_3_lady_16|Dame Arjis
trp_kingdom_3_lady_16_pl|Zenur
trp_kingdom_3_lady_17|Dame Atjahan
trp_kingdom_3_lady_17_pl|Atjahan
trp_kingdom_3_lady_18|Dame Qutala
trp_kingdom_3_lady_18_pl|Qutala
trp_kingdom_3_lady_19|Dame Hindal
trp_kingdom_3_lady_19_pl|Hindal
trp_kingdom_3_lady_20|Dame Mechet
trp_kingdom_3_lady_20_pl|Mechet
trp_kingdom_4_lady_1|Dame Jadeth
trp_kingdom_4_lady_1_pl|Jadeth
trp_kingdom_4_lady_2|Dame Miar
trp_kingdom_4_lady_2_pl|Miar
trp_kingdom_4_lady_3|Dame Dria
trp_kingdom_4_lady_3_pl|Dria
trp_kingdom_4_lady_4|Dame Glunde
trp_kingdom_4_lady_4_pl|Glunde
trp_kingdom_4_lady_5|Dame Loeka
trp_kingdom_4_lady_5_pl|Loeka
trp_kingdom_4_lady_6|Dame Bryn
trp_kingdom_4_lady_6_pl|Bryn
trp_kingdom_4_lady_7|Dame Eir
trp_kingdom_4_lady_7_pl|Eir
trp_knight_4_2b_daughter_1|Dame Thera
trp_knight_4_2b_daughter_1_pl|Thera
trp_kingdom_4_lady_9|Dame Hild
trp_kingdom_4_lady_9_pl|Hild
trp_knight_4_2c_wife_1|Dame Endegrid
trp_knight_4_2c_wife_1_pl|Endegrid
trp_kingdom_4_lady_11|Dame Herjasa
trp_kingdom_4_lady_11_pl|Herjasa
trp_knight_4_2c_daughter|Dame Svipul
trp_knight_4_2c_daughter_pl|Svipul
trp_knight_4_1b_wife|Dame Ingunn
trp_knight_4_1b_wife_pl|Ingunn
trp_kingdom_4_lady_14|Dame Kaeteli
trp_kingdom_4_lady_14_pl|Kaeteli
trp_knight_4_1b_daughter|Dame Eilif
trp_knight_4_1b_daughter_pl|Eilif
trp_knight_4_2b_daughter_2|Dame Gudrun
trp_knight_4_2b_daughter_2_pl|Gudrun
trp_kingdom_4_lady_17|Dame Bergit
trp_kingdom_4_lady_17_pl|Bergit
trp_knight_4_2c_wife_2|Dame Aesa
trp_knight_4_2c_wife_2_pl|Aesa
trp_knight_4_1c_daughter|Dame Alfrun
trp_knight_4_1c_daughter_pl|Alfrun
trp_kingdom_4_lady_20|Dame Afrid
trp_kingdom_4_lady_20_pl|Afrid
trp_kingdom_5_lady_1|Dame Brina
trp_kingdom_5_lady_1_pl|Brina
trp_kingdom_5_lady_2|Dame Aliena
trp_kingdom_5_lady_2_pl|Aliena
trp_kingdom_5_lady_3|Dame Aneth
trp_kingdom_5_lady_3_pl|Aneth
trp_kingdom_5_lady_4|Dame Reada
trp_kingdom_5_lady_4_pl|Reada
trp_kingdom_5_5_wife|Dame Saraten
trp_kingdom_5_5_wife_pl|Saraten
trp_kingdom_5_2b_wife_1|Dame Baotheia
trp_kingdom_5_2b_wife_1_pl|Baotheia
trp_kingdom_5_1c_daughter_1|Dame Elandra
trp_kingdom_5_1c_daughter_1_pl|Elandra
trp_kingdom_5_2c_daughter_1|Dame Meraced
trp_kingdom_5_2c_daughter_1_pl|Meraced
trp_kingdom_5_1c_wife_1|Dame Adelisa
trp_kingdom_5_1c_wife_1_pl|Adelisa
trp_kingdom_5_2c_wife_1|Dame Calantina
trp_kingdom_5_2c_wife_1_pl|Calantina
trp_kingdom_5_1c_daughter_2|Dame Forbesa
trp_kingdom_5_1c_daughter_2_pl|Forbesa
trp_kingdom_5_2c_daughter_2|Dame Claudora
trp_kingdom_5_2c_daughter_2_pl|Claudora
trp_kingdom_5_1b_wife|Dame Anais
trp_kingdom_5_1b_wife_pl|Anais
trp_kingdom_5_2b_wife_2|Dame Miraeia
trp_kingdom_5_2b_wife_2_pl|Miraeia
trp_kingdom_5_1c_daughter_3|Dame Agasia
trp_kingdom_5_1c_daughter_3_pl|Agasia
trp_kingdom_5_lady_16|Dame Geneiava
trp_kingdom_5_lady_16_pl|Geneiava
trp_kingdom_5_1c_wife_2|Dame Gwenael
trp_kingdom_5_1c_wife_2_pl|Gwenael
trp_kingdom_5_2c_wife_2|Dame Ysueth
trp_kingdom_5_2c_wife_2_pl|Ysueth
trp_kingdom_5_1c_daughter_4|Dame Ellian
trp_kingdom_5_1c_daughter_4_pl|Ellian
trp_kingdom_5_lady_20|Dame Timethi
trp_kingdom_5_lady_20_pl|Timethi
trp_kingdom_6_lady_1|Dame Rayma
trp_kingdom_6_lady_1_pl|Rayma
trp_kingdom_6_lady_2|Dame Thanaikha
trp_kingdom_6_lady_2_pl|Thanaikha
trp_kingdom_6_lady_3|Dame Sulaha
trp_kingdom_6_lady_3_pl|Sulaha
trp_kingdom_6_lady_4|Dame Shatha
trp_kingdom_6_lady_4_pl|Shatha
trp_kingdom_6_lady_5|Dame Bawthan
trp_kingdom_6_lady_5_pl|Bawthan
trp_kingdom_6_lady_6|Dame Mahayl
trp_kingdom_6_lady_6_pl|Mahayl
trp_kingdom_6_lady_7|Dame Isna
trp_kingdom_6_lady_7_pl|Isna
trp_kingdom_6_lady_8|Dame Siyafan
trp_kingdom_6_lady_8_pl|Siyafan
trp_kingdom_6_lady_9|Dame Ifar
trp_kingdom_6_lady_9_pl|Ifar
trp_kingdom_6_lady_10|Dame Yasmin
trp_kingdom_6_lady_10_pl|Yasmin
trp_kingdom_6_lady_11|Dame Dula
trp_kingdom_6_lady_11_pl|Dula
trp_kingdom_6_lady_12|Dame Ruwa
trp_kingdom_6_lady_12_pl|Ruwa
trp_kingdom_6_lady_13|Dame Luqa
trp_kingdom_6_lady_13_pl|Luqa
